Tokyo Ghoul:re|https://www.shqqaa.com/upload/image/manga/tokyo_ghoul_re.jpg|https://www.shqqaa.com/manga/tokyo-ghoul-re/|2030|0|طوكيو غول:ري| بعد هزيمة اريما لكانيكي [بالجزء الاول للمانجا] تم محاكمة كانيكي على انه كان ضحية د/كانيو بتحويله الى نصف غول . كما ان ال-CCG- الهمت من كانيكي بفكرة الغيلان المصطنعون فتم تأسيس فرقة تسمي -الكوينكيس- هذه الفرقة مجموعة من الاشخاص اجرت عليهم العملية لكن بضوابط حتي لا يخرجوا عن السيطرة مثل كانيكي . و تم غسل دماغ كانيكي و محو ذكرياته بالكامل و اعطوه اسم -ساساكي هيس- و بعد سنتين من التدريب كمحقق ترقي الى رتبة محقق اول و اصبح رئيس هؤلاء ال -كوينكيس- هو بالاحري كأب لهم .. و بدأ كانيكي يستعيد بعض من ذكرياته السابقة .. الاحداث ما زالت فى ملحمة ما بين اويجري و جماعة فلوبي و مزادات الغيلان و ال-CCG- تري متي سيستعيد ساساكي [كانيكي] ذاكرته ؟

Magi: The Labyrinth of Magic|https://www.shqqaa.com/upload/image/manga/magi.jpg|https://www.shqqaa.com/manga/magi-the-labyrinth-of-magic/|2030|0|ماجي: متاهة السحر| كلنا نعرف علاء الدين لكن في الواقع هنا القصة تختلف نوعاً ما وهي: تتحدث القصة عن القدر و كثرة المعارك للحفاظ على العالم بشكلٍ صحيح [علاء الدين] هو الصبي الذي أُختير لاكتشاف العالم بعدما وقع في غرفة يبقى فيها طوال حياته. صديقه المفضل هو المزمار و الجني اسمه هو [يغو] أكتشف [علاء الدين] منذ وقتٍ قريب أنه المجوس و الساحر الذي يختاره الملوك، سوف يقاتل ضد أولئك الذين يحاولون تدمير القدر، وسيكمل مغامراته إلى أن يلتقي بأشخاص من [ألف ليلة و ليلة] مثل [علي بابا] و [سندباد] الذين سيحاربون للحفاظ على توازن العالم.

Kingdom|https://www.shqqaa.com/upload/image/manga/kingdom.jpg|https://www.shqqaa.com/manga/kingdom/|2030|0|مملكة| تدور أحداث المانجا خلال فترة الدُول المتحاربة في الصين القديمة ما بين عام 221 – 475 قبل الميلاد, وَ تَـتبع المانجا مغامراتُ صبيٍّ غيرِ معروف وَ ملكٍ شاب يسعيانِ معاً لتغيير المملكة، يمُّران بالكثيرِ من المعاناةِ وَ الألم وَ هم في طريقهم لتحقيقِ حُلمهم ذلكَ الحُلم الذي سيُغير مجرى التاريخ.. تُحاكي هذه المانجا حقبة تاريخية تعودُ إلى ما قبل الميلاد في الصين, تلكَ الحقبة التي قُسمت فيها الصين إلى سبعة ممالك كُلَ مملكةٍ تسعى باستمرار لفرض سيادتها على الأخرى.. وَ من بينِ ذلك ظهرَ من يحلم بتوحيد هذه المملكة وَ رفع الظلم وإيقاف تلكَ الحروب الدامية لكن لن يكونَ هذا الطريقُ سهلاً وَ مُمهداً.

Kuroko no Basket: Extra Game|https://www.shqqaa.com/upload/image/manga/kuroko_no_basket_extra_game.jpg|https://www.shqqaa.com/manga/kuroko-no-basket-extra-game/|2030|1|كوروكو نو باسكت: مباراة إضافية| قصة جديدة وتكملة للاحداث بعد بطولة كأس الشتاء مواجهة بين نخبة لاعبي اليابان ولاعبين اجانب من امريكا.

Black Clover|https://www.shqqaa.com/upload/image/manga/black_clover.jpg|https://www.shqqaa.com/manga/black-clover/|2030|0|البرسيم الأسود| تم التخلي عن استر و جونو معًا في نفس الكنيسة، ولم يفترقا منذ ذلك الحين. مذ كانا اطفالًا، والاثنان وعدا بعضهما البعض أن يتنافسا لمعرفة من منهم الذي سيصبح الإمبراطور المشعوذ المقبل، وعلى ذلك كبرا، وأصبح بينهم بعض الخلافات. كان جونو عبقري السحر، ولديه قدرة مذهلة في السطيرة عليه. بينما استر لا يمكنة استخدام السحر، وحاول أن يعوض عن ذلك من خلال التدريب الجسدي. عندما حان وقت البطولة -جريمويري- كانا في سن الـ 15، حصل جونو على كتاب مذهل مع أربعة اوراق برسيم (معظم الناس يحصلون على ثلاثة اوراق برسيم ) في حين أن استر لم يحصل على أي شئ على الاطلاق. ومع ذلك، عندما كان جونو مهددًا، ذهب استر لمساعدته وأثناء قتاله لحماية جونو، حصل على جريمويري خمس أوراق برسيم، وهو -البرسيم الأسود- كتاب مكافحة السحر، وهو لا يعرف أنه استخدم هذا ، و الان كلا الصديقيْن يسعون نحو نفس الهدف.

Boruto|https://www.shqqaa.com/upload/image/manga/boruto.jpg|https://www.shqqaa.com/manga/boruto/|2030|0|بوروتو| الإصدار الجديد بعد إنتهاء مانجا ناروتو، بوروتو هو إبن ناروتو ، فبعد إنتهاء الحرب ومرور السنين تدور أحداث القصة الحالية مشابهة لفلم ناروتو الجديد.

Berserk|https://www.shqqaa.com/upload/image/manga/berserk.jpg|https://www.shqqaa.com/manga/berserk/|2030|0|الهائج| جاتس، المعروف بالسياف الأسود، ينشد الملاذ من القوات الشيطانية التي تنجذب إليه بسبب العلامة الشيطانية على رقبته هو وإمراته، والإنتقام من الرجل الذي صنفه كتضحية غير مقدسة، مدعوما فقط بقوته الجبارة التي اكتسبها من طفولته القاسية من حياتة مع التجار، يحمل سيفا ضخما ويملك يدا يسرى اصطناعية حديدية. جاتس يجب أن يناضل مصيره القاتم، وكل هذا أثناء قتاله مع كراهية قد تجرده من إنسانيته.

Tokyo Ghoul: Redrawn|https://www.shqqaa.com/upload/image/manga/tokyo_ghoul_redrawn.jpg|https://www.shqqaa.com/manga/tokyo-ghoul-redrawn/|2030|1|طوكيو غول:Redrawn|" لا مهم، فقط نية -إيشيدا- من إعادة رسم ما رسمه سابقًا هو إحياء الذكريات ويوضّح لنا تحسنه وتغير أسلوبه أيضًا،
وأيضًا الاحتفال بمرور خمس سنوات على بدايته لهذه المانجا العريقة."

Mujirushi|https://www.shqqaa.com/upload/image/manga/mujirushi.jpg|https://www.shqqaa.com/manga/mujirushi/|2030|0|موجيروشي| موجيروشي-Mujirushi

The Promised Neverland|https://www.shqqaa.com/upload/image/manga/the_promised_neverland.jpg|https://www.shqqaa.com/manga/the-promised-neverland/|2030|0|نيفرلاند الموعودة| الأرض الموعودة، تعيش إيما مع أصدقائها في دار الأيتام التي نشؤوا بها، وبالرغم من أن القواعد قد تكون صارمة إلا أن المربية رحيمة وعطوفة بهم، إيما و راي و نورمان يوماً ما يقررون الهروب من الميتم ولكن لِمَ يُمنع على الأطفال المغادرة ..؟

Boku ni Hana no Melancholy|https://www.shqqaa.com/upload/image/manga/boku_ni_hana_no_melancholy.jpg|https://www.shqqaa.com/manga/boku-ni-hana-no-melancholy/|2030|0|زهوري الحزينة| عندما كانت -هانا- تزور قبر أمها، تعرفت على صبي اسمه -يوزورو- و هو كان حبها الاول لكن حدث و ان رحل الى منطقه اخرى ،و ظنت أنه لن يكون من الممكن رؤيته بعد الآن، ولكن ..؟

Tsubaki Chou Lonely Planet|https://www.shqqaa.com/upload/image/manga/tsubaki_chou_lonely_planet.jpg|https://www.shqqaa.com/manga/tsubaki-chou-lonely-planet/|2030|0|تسوباكي تشو الكوكب الوحيد| -أونو فومي- فتاة فقيرة في المرحلة الثانية من المدرسة الثانية, بسبب ديون والدها قد طرت من منزلها و كان عليها أن تعتمد على نفسها و بهذا أصبحت تعمل ك مدبرة منزل لدى كاتب و تعيش في منزله.

Skip Beat!|https://www.shqqaa.com/upload/image/manga/skip_beat.jpg|https://www.shqqaa.com/manga/skip-beat/|2030|0|سكيب بيت!| -موجامي كيوكو- ذات الستة عشر ربيعاً نذرت حياتها لحبيبها المغني -فوا شو- فتخلت عن كل ما تملك وأصبحت مشاعرها فقط تدور حوله وغيرها من المشاعر فهي تعامل الناس بها لأجله محتملة كل ما يصدر منه وبدلاً من الذهاب للمدرسة كل يوموالبقاء مع العائلة سافرت معه للعاصمة طوكيو أصبحت تعمل ليل نهار لتدفع نقود الإيجار وغيرها ومن ثم تفاجأت في أحد الأيام بخيانته لها وتصريحه أنه لا يحبها فما هي إلا خادمة عنده فتقرر الانتقام منه وتنضم لإحدى الوكالات المنافسة.

